car_name,brand,car_model,registration,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Corolla Color 1997,Toyota,Corolla,2000,1997,Automatic,Saloon,"CNG, Octane",1500,65000,754000
Toyota Raum 2009,Toyota,Raum,2018,2015,Automatic,Estate,"CNG, Octane",1500,75000,1206400
Toyota Noah 2015,Toyota,Noah,2018,2015,Automatic,MPV,"Petrol, Hybrid, Octane",1800,34420,2842000
Toyota Corolla 110 1998,Toyota,Corolla,2000,1998,Automatic,Saloon,"CNG, Octane",1500,125885,661200
Toyota Noah DX 2003,Toyota,Noah,2007,2003,Automatic,Estate,"Petrol, CNG",1800,75000,895000
Toyota Fielder G PACKAGE 2010,Toyota,Fielder,2012,2010,Automatic,Estate,"CNG, Octane",1500,55000,1438400
Toyota Axio 2014,Toyota,Axio,2016,2014,Automatic,Saloon,"Hybrid, Octane",1500,81304,1728400
Toyota Allion G WINE 2016,Toyota,Allion,2018,2016,Automatic,Saloon,Petrol,1500,75000,3340800
Toyota Allion G 2005,Toyota,Allion,2007,2005,Automatic,Saloon,"CNG, Octane",1500,90000,1333998.84
Honda Civic SunRoof Turbo Octane 2021,Honda,Civic,2021,2021,Automatic,Saloon,Octane,1500,3500,4400000
Toyota Hiace DX 2004,Toyota,Hiace,2006,2004,Automatic,MPV,"Petrol, CNG",2000,90000,754000
BMW 5 Series Premium Edition V8 2012,BMW,5 Series,2013,2012,Automatic,Saloon,Octane,2000,23000,5700000
Honda Civic Wine 2018,Honda,Civic,2019,2018,Automatic,Saloon,Octane,1500,58259,4150000
Toyota Noah 2016,Toyota,Noah,2019,2016,Automatic,MPV,"Hybrid, Octane",1800,34175,2969600
Nissan X-Trail 2010,Nissan,X-Trail,2012,2010,Automatic,SUV / 4x4,Octane,2000,63200,2262000
Toyota Fielder 2012,Toyota,Fielder,2015,2012,Automatic,Estate,Octane,1500,52800,1578760
Toyota Noah DX 2006,Toyota,Noah,2008,2006,Automatic,MPV,"CNG, Octane",1800,85000,1537000
Toyota Corsa G 1993,Toyota,Corsa,1995,1993,Automatic,Saloon,"CNG, Octane",1331,149967,458200
Honda Vezel RS 2016,Honda,Vezel,2020,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",1500,50000,3422000
Toyota Allion A-15 2017,Toyota,Allion,2019,2017,Automatic,Saloon,Octane,1500,30000,3132000
Nissan Sunny 2003,Nissan,Sunny,2005,2003,Automatic,Saloon,"Octane, CNG",1300,220000,498800
Kia Sportage 2006,Kia,Sportage,2010,2006,Automatic,SUV / 4x4,"Octane, CNG",2000,92000,1218000
Toyota Corolla X Best condition. 2004,Toyota,Corolla,2010,2004,Automatic,Saloon,"CNG, Octane",1500,78500,1115000
Toyota Axio X 2014,Toyota,Axio,2018,2014,Automatic,Saloon,"CNG, Octane",1500,42000,1067200
Toyota Axio X 2010,Toyota,Axio,2016,2010,Automatic,Saloon,"CNG, Octane",1500,75000,1368800
Toyota Allion A15 Push 2010,Toyota,Allion,2016,2010,Automatic,Saloon,Octane,1500,58000,2240000
Toyota Corolla X 2004,Toyota,Corolla,2006,2004,Automatic,Saloon,"CNG, Octane",1500,68000,1113600
Toyota Premio F 2006,Toyota,Premio,2008,2006,Automatic,Saloon,"CNG, Octane",1500,96000,1566000
Toyota Premio G 2012,Toyota,Premio,2014,2012,Automatic,Saloon,Octane,1500,52000,2378000
Toyota Aqua G 2014,Toyota,Aqua,2021,2014,Automatic,Hatchback,"Hybrid, Octane",1500,53000,1430000
Toyota Axio 2016,Toyota,Axio,2018,2016,Automatic,Saloon,Octane,1500,71000,2204000
Toyota Fielder 2004,Toyota,Fielder,2008,2004,Automatic,Estate,"CNG, Octane",1500,65000,1218000
Toyota Starlet 1994,Toyota,Starlet,1997,1994,Manual,Saloon,Octane,1331,179724,348000
Toyota Noah kr 42 2006,Toyota,Noah,2006,2006,Automatic,MPV,"CNG, Octane",1800,53423,1368800
Toyota Prius 2016,Toyota,Prius,2019,2016,Automatic,Saloon,"Hybrid, Octane",1800,88000,3074000
Toyota C-HR 2017,Toyota,C-HR,2020,2017,Automatic,SUV / 4x4,"Hybrid, Octane",1800,22000,3770000
Toyota Noah GL 2006,Toyota,Noah,2008,2006,Automatic,MPV,"Petrol, CNG",1800,95000,1380400
Toyota Axio 2008,Toyota,Axio,2012,2008,Automatic,Saloon,"CNG, Octane",1500,69536,1363000
Toyota Estima Lucida 1995,Toyota,Estima,2000,1995,Automatic,Estate,Diesel,2000,100000,429200
Toyota Hiace 2016,Toyota,Hiace,2018,2016,Automatic,MPV,Octane,2000,90000,3735200
Toyota Allion A15 2012,Toyota,Allion,2014,2012,Automatic,Saloon,"Petrol, CNG, Octane",1500,52000,2192400
Nissan Juke 2011,Nissan,Juke,2013,2015,Automatic,SUV / 4x4,Octane,1500,54000,1473200
Toyota ist G 2004,Toyota,ist,2007,2004,Automatic,Hatchback,Octane,1300,69000,835200
Toyota Axio 2015,Toyota,Axio,2019,2015,Automatic,Saloon,"Hybrid, Octane",1500,28889,1832800
Toyota Rush G 2008,Toyota,Rush,2012,2008,Automatic,SUV / 4x4,"Petrol, CNG, Octane",1500,54146,1218000
Honda Insight G 2012,Honda,Insight,2014,2012,Automatic,Saloon,Octane,1500,46000,1673880
Mitsubishi Lancer GLX 2006,Mitsubishi,Lancer,2009,2006,Automatic,Saloon,LPG,1500,105000,875800
Toyota Carina TI 1998,Toyota,Carina,2003,1998,Automatic,Saloon,"CNG, Octane",1500,70000,754000
Toyota Corolla 2004,Toyota,Corolla,2006,2004,Automatic,Saloon,CNG,1500,70000,1102000
Toyota Allion A-15 (G) Wine Red 2012,Toyota,Allion,2016,2012,Automatic,Saloon,Octane,1500,63000,2350000
Nissan X-Trail 2017,Nissan,X-Trail,2020,2017,Automatic,SUV / 4x4,Hybrid,2000,20000,4930000
Toyota Harrier 2015,Toyota,Harrier,2017,2015,Automatic,SUV / 4x4,Octane,2000,45000,6380000
Nissan Sunny 2005,Nissan,Sunny,2005,2005,Automatic,Saloon,"Octane, CNG",1300,120000,638000
Mitsubishi Lancer glx 2008,Mitsubishi,Lancer,2009,2008,Automatic,Saloon,"CNG, Octane",1300,100000,754000
Toyota Land Cruiser 1995,Toyota,Land Cruiser,1999,1995,Manual,Estate,Octane,2367,92458,870000
Toyota Fielder X Limited 2006,Toyota,Fielder,2011,2006,Automatic,Estate,"CNG, Octane",1500,75400,1183200
Toyota Starlet good 1992,Toyota,Starlet,1995,1992,Automatic,Saloon,CNG,1300,150000,382800
Toyota Allion G 2018,Toyota,Allion,2020,2018,Automatic,Saloon,"Petrol, Octane",1500,40300,3456800
Toyota Noah X 2005,Toyota,Noah,2010,2005,Automatic,MPV,"CNG, Octane",2000,152368,1508000
Kia Sportage 2006,Kia,Sportage,2007,2006,Automatic,SUV / 4x4,Octane,2000,65000,1264400
Kia Sportage 2006,Kia,Sportage,2008,2006,Automatic,SUV / 4x4,"Octane, CNG",2000,70000,1252800
Mitsubishi Outlander 2010,Mitsubishi,Outlandar,2012,2010,Automatic,SUV / 4x4,Octane,2000,66500,2610000
Toyota Esquire 2016,Toyota,Esquire,2019,2016,Automatic,SUV / 4x4,"Hybrid, Octane",1800,34560,3456800
Toyota Premio 2016,Toyota,Premio,2018,2016,Automatic,Saloon,"CNG, Octane",1500,36980,3016000
Toyota Hiace 2016,Toyota,Hiace,2018,2016,Automatic,Estate,Octane,2000,65000,2749200
Honda Civic EX Leather Package 2013,Honda,Civic,2014,2013,Automatic,Saloon,"Hybrid, Octane",1500,74000,1850000
Toyota Axio X 2016,Toyota,Axio,2018,2016,Automatic,Saloon,"Petrol, Octane",1500,33510,1914000
Toyota Noah KR 42 GL 2004,Toyota,Noah,2006,2004,Automatic,MPV,"CNG, Octane",1800,112000,1003400
Nissan Tiida 2004,Nissan,Tiida,2008,2004,Automatic,Hatchback,Octane,1500,65000,997600
Nissan X-Trail 2017,Nissan,X-Trail,2019,2017,Automatic,SUV / 4x4,"Petrol, Octane",2000,30214,4640000
Honda HR-V 2002,Honda,HR-V,2005,2002,Automatic,MPV,Octane,1590,68000,997600
Toyota Allion A15 2007,Toyota,Allion,2010,2007,Automatic,Saloon,"CNG, Octane",1500,77000,1595000
Toyota X Assista 2003,Toyota,X Assista,2007,2003,Automatic,Saloon,"CNG, Octane",1331,67000,887400
Honda Grace 2017,Honda,Grace,2019,2017,Automatic,Saloon,"Hybrid, Octane",1500,14939,3074000
Toyota Premio F-EX 2018,Toyota,Premio,2020,2018,Automatic,Saloon,Octane,1500,23000,4118000
Toyota Land Cruiser V8 2014,Toyota,Land Cruiser,2017,2014,Automatic,SUV / 4x4,Diesel,4500,37609,17284000
Toyota Allion G Plus 2018,Toyota,Allion,2020,2018,Automatic,Saloon,Octane,1500,22300,3800000
Toyota Premio FL 2018,Toyota,Premio,2019,2018,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,4839,4176000
Toyota Axio 2015,Toyota,Axio,2018,2015,Automatic,Saloon,"Hybrid, Octane",1500,43107,1763200
Nissan X-Trail 2017,Nissan,X-Trail,2019,2017,Automatic,SUV / 4x4,Hybrid,2000,57000,5138800
Toyota C-HR G LED 2017,Toyota,C-HR,2019,2017,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",1800,28900,3816400
Nissan X-Trail 2011,Nissan,X-Trail,2013,2011,Automatic,SUV / 4x4,Octane,2000,52436,2621600
Mitsubishi Outlandar 2016,Mitsubishi,Jeep,2019,2016,Automatic,SUV / 4x4,"Hybrid, Octane",2000,18000,5428800
Toyota Hiace DX GL 2016,Toyota,Hiace,2018,2016,Automatic,MPV,Petrol,2000,57000,2691200
Toyota Harrier Progress 2018,Toyota,Harrier,2020,2018,Automatic,SUV / 4x4,"Petrol, Octane",2500,38451,9106000
Toyota Kluger V 2002,Toyota,Kluger,2004,2002,Automatic,SUV / 4x4,"Octane, LPG",2400,70000,1914000
Honda Vezel S 2015,Honda,Vezel,2017,2015,Automatic,SUV / 4x4,Octane,1500,43135,2581000
Hyundai Tucson 2010,Hyundai,Tucson,2012,2010,Automatic,SUV / 4x4,Octane,2000,62000,1914000
Toyota VITZ 2008,Toyota,Vitz,2010,2008,Automatic,Hatchback,"Petrol, Octane",1000,70000,986000
Toyota Axio X 2016,Toyota,Axio,2018,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,24286,2204000
Toyota Fielder WXB 2016,Toyota,Fielder,2017,2016,Automatic,Estate,Hybrid,1500,35000,2517200
Toyota Axio 2016,Toyota,Axio,2018,2016,Automatic,Saloon,"Hybrid, Octane",1500,56000,2088000
Toyota Corolla Ae 100 1992,Toyota,Corolla,1998,1992,Automatic,Saloon,"CNG, Octane",1490,88000,498800
Toyota Noah 2016,Toyota,Noah,2017,2016,Automatic,MPV,"Petrol, Octane",1800,35210,2900000
Toyota Corolla X LTD 1.3L 2004,Toyota,Corolla,2009,2004,Automatic,Saloon,"Petrol, CNG, Octane",1331,71000,1020000
Chevrolet Spark 2008,Chevrolet,Spark,2010,2008,Manual,Hatchback,Octane,1000,45000,464000
Honda Civic Blue 2018,Honda,Civic,2021,2018,Automatic,Saloon,Octane,1500,82209,4100000
Toyota Axio 2012,Toyota,Axio,2014,2012,Automatic,Estate,Octane,1500,32323,1618200
Toyota Noah Super Extra Limo 2000,Toyota,Noah,2001,2000,Automatic,MPV,"CNG, Octane",2000,65800,928000
Toyota Noah Esquire Gi 2016,Toyota,Noah,2020,2016,Automatic,MPV,"Hybrid, Octane",1800,47137,2695000
Toyota Harrier 2014,Toyota,Harrier,2017,2014,Automatic,SUV / 4x4,Octane,2000,46121,5974000
Toyota Vitz 2010,Toyota,Vitz,2012,2010,Automatic,Saloon,Octane,1000,65000,835200
Toyota Corolla X 2004,Toyota,Corolla,2007,2004,Automatic,Saloon,"CNG, Octane",1500,78965,1148400
Toyota Corolla 2007,Toyota,Corolla,2010,2007,Automatic,Saloon,"CNG, Octane",1500,90000,997600
Toyota LiteAce School bus 9 seats 1989,Toyota,LiteAce,1992,1989,Manual,MPV,"CNG, Octane",1300,274000,145000
Toyota Noah X Smart 2012,Toyota,Noah,2015,2012,Automatic,MPV,"CNG, Octane",1500,55314,2350000
Toyota Esquire 2016,Toyota,Esquire,2018,2016,Automatic,SUV / 4x4,"Hybrid, Octane",1800,38450,3456800
Toyota Axio X 2010,Toyota,Axio,2013,2010,Automatic,Saloon,"Petrol, CNG, Octane",1500,65000,1496400
Toyota Noah 2002,Toyota,Noah,2004,2002,Automatic,MPV,"Petrol, CNG",1800,60000,1136800
Nissan Sunny 2003,Nissan,Sunny,2006,2003,Automatic,Saloon,Octane,1300,89000,568400
Toyota Premio G SUPERIOR 2013,Toyota,Premio,2017,2013,Automatic,Saloon,"Petrol, CNG, Octane",1500,59698,2494000
Mitsubishi Lance 1999,Mitsubishi,Lancer,2003,1999,Automatic,Saloon,"Petrol, CNG",1500,70000,562600
Toyota Hiace GL 2014,Toyota,Hiace,2017,2014,Automatic,MPV,"CNG, Octane",2000,48990,2662200
Nissan Bluebird white 2004,Nissan,Bluebird,2009,2004,Automatic,Saloon,Octane,1500,89000,650000
Mitsubishi Pajero 1991,Mitsubishi,Pajero,1994,1991,Manual,Full-size SUV,Diesel,2500,92000,261000
Toyota Axio G Ltd 2011,Toyota,Axio,2013,2011,Automatic,Saloon,Octane,1500,47000,1595000
Toyota Noah sun roof 2004,Toyota,Noah,2006,2004,Automatic,MPV,"CNG, Octane",1800,81644,1200600
Toyota Corolla 110 1995,Toyota,Corolla,1998,1995,Automatic,Saloon,"CNG, Octane",1331,150000,440800
Toyota Premio G SUPERIOR 2014,Toyota,Premio,2018,2014,Automatic,Saloon,Octane,1500,54314,2775000
Toyota Noah NOHA SI G PKG 2012,Toyota,Noah,2014,2012,Automatic,MPV,"CNG, Octane",2000,65480,2656400
Toyota Noah 2016,Toyota,Noah,2019,2016,Automatic,MPV,"Hybrid, Octane",1800,30724,2900000
Honda Vezel 2014,Honda,Vezel,2016,2014,Automatic,SUV / 4x4,Octane,1500,6170,2818800
Toyota Axio 2014,Toyota,Axio,2018,2014,Automatic,Saloon,"Hybrid, Octane",1500,41000,986000
"Toyota Auris s"" stails 2012",Toyota,Auris,2014,2012,Automatic,Saloon,Octane,1500,48278,1711000
Toyota RAV4 2005,Toyota,RAV4,2007,2005,Automatic,SUV / 4x4,"Octane, LPG",2362,63000,1844400
Toyota Succeed 2003,Toyota,Succeed,2005,2003,Automatic,Estate,"CNG, Octane",1500,74500,694840
Toyota Corolla x 2005,Toyota,Corolla,2010,2005,Automatic,Saloon,"CNG, Octane",1500,167870,1250000
Toyota LiteAce 2001,Toyota,LiteAce,2003,2001,Manual,MPV,CNG,1800,102000,191400
Toyota Noah X SI 2008,Toyota,Noah,2011,2008,Automatic,MPV,"CNG, Octane",1998,63200,1853680
Toyota Coaster 2013,Toyota,Coaster,2015,2013,Manual,MPV,Diesel,4200,52000,2030000
Honda Grace LX 2016,Honda,Grace,2020,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,58500,2528800
Toyota Corolla 90 sprinter,Toyota,Corolla,1997,1990,Automatic,Saloon,"CNG, Octane",1300,120000,162400
Toyota Allion G 2009,Toyota,Allion,2013,2009,Automatic,Saloon,"CNG, Octane",1500,84000,1815400
Nissan Sunny G- 2009,Nissan,Sunny,2012,2009,Automatic,Saloon,Octane,1300,74812,951200
Toyota Allion G 2013,Toyota,Allion,2015,2013,Automatic,Saloon,Octane,1500,61000,2262000
Toyota Allion G 2014,Toyota,Allion,2016,2014,Automatic,Saloon,"CNG, Octane",1500,61500,1496400
Toyota Allion G 2005,Toyota,Allion,2008,2005,Automatic,Saloon,Octane,1500,87500,1368800
Toyota Allion G 2017,Toyota,Allion,2021,2017,Automatic,Saloon,"Petrol, Octane",1500,34713,3526400
Toyota Carina SX 1994,Toyota,Carina,1996,1994,Automatic,Saloon,"CNG, Octane",1500,91000,539400
Toyota Axio 2010,Toyota,Axio,2014,2010,Automatic,Saloon,"CNG, Octane",1500,89652,1084600
Toyota Axio X Fielder 2009,Toyota,Axio,2012,2009,Automatic,Hatchback,"CNG, Octane",1500,73000,1426800
Toyota Premio FL 2017,Toyota,Premio,2018,2017,Automatic,Saloon,Petrol,1500,42556,3398800
Toyota Axio 2015,Toyota,Axio,2018,2015,Automatic,Saloon,"Petrol, Octane",1500,28420,1972000
Toyota Vitz G 2011,Toyota,Vitz,2013,2011,Automatic,Hatchback,"Octane, LPG",1320,57580,1270200
Toyota Corolla X 2010 2003,Toyota,Corolla,2010,2003,Automatic,Saloon,"CNG, Octane",1500,36000,995000
Toyota Premio Ex 2019,Toyota,Premio,2021,2019,Automatic,Saloon,Octane,1500,5000,4408000
Toyota Noah X 2004,Toyota,Noah,2007,2004,Automatic,MPV,"Octane, LPG",2000,85320,1159998.84
Toyota Hiace dx 2003,Toyota,Hiace,2004,2003,Automatic,MPV,"CNG, Octane",2000,298521,371200
Toyota Prius 2013,Toyota,Prius,2017,2013,Automatic,Saloon,"Hybrid, Octane",1800,47000,1948800
Toyota Hiace GL 2016,Toyota,Hiace,2018,2016,Automatic,MPV,"Petrol, Octane",2000,65214,2644800
Honda Vezel S package 2014,Honda,Vezel,2017,2014,Automatic,SUV / 4x4,Octane,1500,36000,2230000
Toyota Premio F EX 2018,Toyota,Premio,2021,2018,Automatic,Saloon,"Petrol, Octane",1500,39510,4152800
Toyota Prado TXL 2018,Toyota,Prado,2021,2018,Automatic,Saloon,"Petrol, Octane",2700,43000,15834000
Toyota C-HR CHR 2017,Toyota,C-HR,2018,2017,Automatic,Saloon,Octane,1331,36500,3317600
Nissan X-Trail 2016,Nissan,X-Trail,2018,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,62000,4164400
Toyota ist 2004,Toyota,ist,2009,2005,Automatic,Hatchback,"CNG, Octane",1300,73000,812000
Toyota Harrier 2013,Toyota,Harrier,2015,2013,Automatic,SUV / 4x4,"Petrol, Octane",2000,44231,4756000
Toyota Noah x edition 2003,Toyota,Noah,2007,2003,Automatic,MPV,"CNG, Octane",2000,71500,1185000
Toyota Carina Myroad 1992,Toyota,Carina,1993,1992,Automatic,Saloon,"CNG, Octane",1500,69000,290000
Toyota Allion A15 2009,Toyota,Allion,2011,2009,Automatic,Saloon,"Petrol, CNG",1500,92000,1798000
Toyota Fielder G 2015,Toyota,Fielder,2017,2015,Automatic,Estate,Hybrid,1500,86000,2006800
Toyota Corsa ax 1995,Toyota,Corsa,1998,1995,Automatic,Saloon,"CNG, Octane",1331,150000,371200
Toyota Hiace dx 2003,Toyota,Hiace,2005,2003,Automatic,MPV,"CNG, Octane",2000,198522,533600
Toyota Axio X 2016,Toyota,Axio,2020,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,40943,2204000
Toyota Fielder X 2015,Toyota,Fielder,2019,2015,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,94000,1995195.36
Toyota Fielder G-EDITION 2001,Toyota,Fielder,2004,2001,Automatic,Estate,"CNG, Octane",1500,75000,926840
Toyota Noah X 2002,Toyota,Noah,2004,2002,Automatic,MPV,"CNG, Octane",2000,142088,1252800
Toyota Corolla G 2006,Toyota,Corolla,2009,2006,Automatic,Saloon,"CNG, Octane",1500,70000,1421000
Nissan Bluebird red 2013,Nissan,Bluebird,2014,2013,Automatic,Saloon,Octane,1600,52000,1530000
Toyota Premio G 2014,Toyota,Premio,2016,2014,Automatic,Saloon,Octane,1500,55000,2666840
Tata 709 Turbo 2006,Tata,709 Turbo,2008,2006,Manual,SUV / 4x4,Diesel,3700,64848,406000
Toyota LiteAce 2011,Toyota,LiteAce,2013,2011,Automatic,MPV,"Petrol, CNG, Octane",1500,100000,493000
Nissan SUCCESS 2013,Nissan,Success,2016,2013,Manual,MPV,Octane,1500,58000,1276000
Nissan X-Trail 2018,Nissan,X-Trail,2019,2018,Automatic,SUV / 4x4,Hybrid,2000,45000,5301200
Toyota Premio FL 2016,Toyota,Premio,2018,2016,Automatic,Saloon,"Petrol, Octane",1500,38450,3190000
Toyota Premio FL-HID. 2011,Toyota,Premio,2012,2011,Automatic,Saloon,Octane,1500,68289,2198200
Nissan Terrano 2001,Nissan,Terrano,2003,2001,Manual,SUV / 4x4,Diesel,2700,81000,1380400
Toyota Noah X 2003,Toyota,Noah,2005,2003,Automatic,MPV,"CNG, Octane",2000,81000,1218000
Toyota Allion G 2014,Toyota,Allion,2015,2014,Automatic,Saloon,Octane,1500,46500,2430200
Toyota Allion G 2011,Toyota,Allion,2014,2011,Automatic,Saloon,"Petrol, CNG, Octane",1500,42100,2024200
Toyota Noah S 2002,Toyota,Noah,2004,2002,Automatic,MPV,"CNG, Octane",2000,90000,1119400
Toyota Corolla X 2004,Toyota,Corolla,2008,2004,Automatic,Saloon,"CNG, Octane",1500,57966,1220000
Toyota Hiace Super GL 2013,Toyota,Hiace,2014,2013,Automatic,MPV,"CNG, Octane",2000,68000,2378000
Toyota Probox succeed 2004,Toyota,Probox,2009,2004,Automatic,MPV,"CNG, Octane",1500,55000,754000
Toyota Allion A15 2003,Toyota,Allion,2005,2003,Automatic,Saloon,"CNG, Octane",1500,69500,1212200
Toyota LiteAce 2011,Toyota,LiteAce,2012,2011,Automatic,MPV,"CNG, Octane",1500,95000,510400
Toyota Hiace GL 2015,Toyota,Hiace,2018,2015,Automatic,MPV,"Petrol, Octane",2000,67000,3456800
Toyota Esquire GI 2016,Toyota,Esquire,2018,2016,Automatic,MPV,Hybrid,1800,35000,3642400
Toyota Noah G 2014,Toyota,Noah,2019,2014,Automatic,MPV,"Hybrid, Octane",1800,80000,2520000
Toyota Axio G 2013,Toyota,Axio,2015,2013,Automatic,Saloon,"Octane, LPG",1500,47800,1722600
Toyota Premio Ex 2018,Toyota,Premio,2020,2018,Automatic,Saloon,Octane,1500,19000,4268800
Toyota Corolla 2000,Toyota,Corolla,2001,2000,Automatic,Saloon,"CNG, Octane",1600,152000,672800
Toyota Premio F EX 2017,Toyota,Premio,2019,2017,Automatic,Saloon,"Petrol, Octane",1500,35210,3770000
Toyota Noah DX KR 42 2005,Toyota,Noah,2010,2005,Automatic,MPV,"CNG, Octane",1800,68000,997600
Honda CR-V Sunroof 2002,Honda,CR-V,2005,2002,Automatic,Hatchback,"CNG, Octane",2000,82000,1073000
Toyota Corolla X LTD 2003,Toyota,Corolla,2005,2003,Automatic,Saloon,"Petrol, CNG, Octane",1500,122850,991800
Toyota Hiace 2015,Toyota,Hiace,2017,2015,Automatic,MPV,Petrol,2000,57000,2853600
Toyota Premio G Superior 2008,Toyota,Premio,2012,2008,Automatic,Saloon,"CNG, Octane",1500,73000,2050000
Nissan Sunny 1994,Nissan,Sunny,1998,1994,Manual,Saloon,"Petrol, CNG",1500,115000,139200
Toyota Premio 2016,Toyota,Premio,2018,2016,Automatic,Saloon,"Petrol, Octane",1500,25421,3770000
Toyota Esquire 2016,Toyota,Esquire,2019,2016,Automatic,MPV,"Hybrid, Octane",1800,43107,3190000
Toyota Allion Original Colour 2010,Toyota,Allion,2016,2010,Automatic,Saloon,"CNG, Octane",1500,73000,2130000
Toyota Axio x 2009,Toyota,Axio,2011,2009,Automatic,Saloon,Octane,1500,67300,1386200
Toyota Allion A15 2009,Toyota,Allion,2015,2009,Automatic,Saloon,"CNG, Octane",1500,54326,1920960
Toyota Noah SI Hybrid Pearl 2018,Toyota,Noah,2021,2018,Automatic,MPV,"Hybrid, Octane",1800,43686,3350000
Toyota Aqua G 2013,Toyota,Aqua,2015,2013,Automatic,Hatchback,Petrol,1500,42000,1293400
Toyota Probox GL 2010,Toyota,Probox,2012,2010,Automatic,Estate,"CNG, Octane",1500,72000,986000
Toyota Premio F-EX 2019,Toyota,Premio,2021,2019,Automatic,Saloon,Octane,1500,8785,4512400
Toyota Premio G Superior 2011,Toyota,Premio,2016,2011,Automatic,Saloon,"CNG, Octane",1500,47900,2192400
Toyota Hiace TRH GL 2011,Toyota,Hiace,2016,2011,Automatic,MPV,"CNG, Octane",2000,72400,2145000
Toyota Hilux 2006,Toyota,Hilux,2010,2006,Manual,Convertible,Diesel,2500,81000,1970840
Toyota Axio Wxb 2017,Toyota,Axio,2019,2017,Automatic,Saloon,Octane,1500,11598,3016000
Toyota Corolla X 2003,Toyota,Corolla,2006,2003,Automatic,Saloon,"CNG, Octane",1500,92000,974400
Toyota Axio 2015,Toyota,Axio,2019,2015,Automatic,Saloon,"Hybrid, Octane",1500,34560,1774800
Toyota duet 1999,Toyota,Duet,2002,1999,Automatic,Hatchback,"CNG, Octane",1000,89000,346840
Toyota Hiace Super GL 2004,Toyota,Hiace,2005,2004,Automatic,MPV,"CNG, Octane",2000,4283,806200
Nissan Bluebird black colour 2008,Nissan,Bluebird,2011,2008,Automatic,Saloon,Octane,1496,48000,1150000
Honda Civic blue color 2004,Honda,Civic,2009,2004,Automatic,Saloon,"Octane, LPG",1500,89000,880000
Suzuki Swift RS 2014,Suzuki,Swift,2019,2014,Manual,Hatchback,"Petrol, Other fuel type",1200,129000,1740000
Toyota Hiace 2016,Toyota,Hiace,2019,2016,Automatic,MPV,"Petrol, Octane",2000,88515,2726000
Toyota Corolla X 2006,Toyota,Corolla,2009,2006,Automatic,Saloon,"CNG, Octane",1500,70305,1270200
Toyota Wish G LTD 7 SEAT 2004,Toyota,Wish,2005,2004,Automatic,Estate,"CNG, Octane",1800,88611,1258600
Toyota Fielder 2014,Toyota,Fielder,2017,2014,Automatic,Estate,Octane,1500,188393,1925600
Toyota Premio FL 2005,Toyota,Premio,2008,2005,Automatic,Saloon,Octane,2000,24600,1450000
Toyota Noah X 2015,Toyota,Noah,2020,2015,Automatic,MPV,"Petrol, Octane",2000,45310,3422000
Toyota Axio X 2016,Toyota,Axio,2020,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,54946,2134400
Toyota Carina T.I 1997,Toyota,Carina,2002,1997,Automatic,Saloon,"CNG, Octane",1500,78000,736600
BMW 730li Individual 2016,BMW,730i,2017,2016,Automatic,Saloon,Octane,2000,26000,16500000
Toyota Noah X 2015,Toyota,Noah,2019,2015,Automatic,MPV,"Petrol, Octane",1800,35854,2784000
Toyota Noah AMBULANCE 2015,Toyota,Noah,2017,2015,Automatic,MPV,Octane,2000,45000,1716800
Suzuki Swift 2017,Suzuki,Swift,2019,2017,Manual,Hatchback,Octane,1300,26000,986000
Toyota Noah Town Ace GL 2011,Toyota,Noah,2016,2011,Automatic,MPV,"CNG, Octane",1500,65000,830000
Honda Civic Blue- 2018,Honda,Civic,2023,2018,Automatic,Saloon,Octane,1500,28525,4250000
Toyota Probox DX 2014,Toyota,Probox,2016,2014,Automatic,Saloon,"Petrol, Octane",1500,36420,1450000
Toyota Belta 2006,Toyota,Belta,2006,2006,Automatic,Saloon,"Oil,CNG",1300,100000,904800
Toyota Premio F EX 2019,Toyota,Premio,2021,2019,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,18452,4303600
Toyota Allion A15 2003,Toyota,Allion,2004,2003,Automatic,Saloon,"CNG, Octane",1500,68448,1258600
Toyota Fielder 2016,Toyota,Fielder,2018,2016,Automatic,Hatchback,"Hybrid, Octane",1500,34560,1879200
Toyota Probox GL 2004,Toyota,Probox,2006,2004,Automatic,Saloon,"CNG, Octane",1331,98500,748200
Toyota Vitz 2008,Toyota,Vitz,2010,2008,Automatic,Hatchback,"Octane, LPG",1000,75000,812000
Toyota Hiace 2016,Toyota,Hiace,2018,2016,Automatic,MPV,Petrol,2000,70000,2668000
Toyota Premio F 2007,Toyota,Premio,2009,2007,Automatic,Saloon,"Petrol, CNG, Octane",1500,98500,1728400
Toyota Corolla 111 1997,Toyota,Corolla,2000,1997,Automatic,Saloon,"CNG, Octane",1331,96000,487200
